,n,random_state,train_BA,train_auroc,val_BA,val_auroc,test_BA,test_auroc
0,200,1001,[1.         0.98308113 0.99342105],[1.         0.99747793 0.99972588],[0.85216346 0.77599179 0.79761905],[0.89663462 0.81805746 0.84693878],[0.88341346 0.76436389 0.79761905],[0.92668269 0.81053352 0.87159864]
1,200,2001,[1. 1. 1.],[1. 1. 1.],[0.9375     0.83344733 0.80654762],[0.95673077 0.88645691 0.86819728],[0.89122596 0.81874145 0.80654762],[0.95552885 0.88166895 0.88945578]
2,200,3001,[0.96953405 0.90495785 0.94039735],[0.99168459 0.96457246 0.98297067],[0.89903846 0.77154583 0.93154762],[0.91826923 0.83173735 0.96683673],[0.84555288 0.74760602 0.9077381 ],[0.95072115 0.88235294 0.96428571]
3,240,1001,[1.         0.96210341 0.95921376],[1.         0.98942421 0.99115479],[0.89122596 0.83413133 0.8422619 ],[0.91466346 0.84062927 0.8920068 ],[0.84495192 0.79069767 0.76190476],[0.92788462 0.83584131 0.875     ]
4,240,2001,[1. 1. 1.],[1. 1. 1.],[0.89903846 0.82113543 0.8452381 ],[0.94711538 0.89329685 0.90986395],[0.83774038 0.7623119  0.86011905],[0.93028846 0.88166895 0.89880952]
5,240,3001,[1.         0.99082569 0.99122807],[1.         0.99943974 0.99961653],[0.9140625  0.78146375 0.91369048],[0.90264423 0.84541724 0.95493197],[0.85276442 0.76060192 0.87202381],[0.95432692 0.90560876 0.95833333]
6,280,1001,[1.         0.97619048 1.        ],[1.         0.99831293 1.        ],[0.89903846 0.80471956 0.8422619 ],[0.93149038 0.86320109 0.89795918],[0.89903846 0.77599179 0.79761905],[0.9375     0.82900137 0.89795918]
7,280,2001,[1.        0.9964539 1.       ],[1.         0.99989795 1.        ],[0.90685096 0.8621751  0.86309524],[0.94951923 0.92818057 0.89285714],[0.85336538 0.7623119  0.76785714],[0.92548077 0.84883721 0.8537415 ]
8,280,3001,[0.99776786 0.96551188 0.9901899 ],[0.99920281 0.99311273 0.99831827],[0.9296875  0.83105335 0.89583333],[0.90985577 0.86183311 0.95153061],[0.84555288 0.77222982 0.89285714],[0.95432692 0.90834473 0.96768707]
9,320,1001,[0.99818182 0.97855605 0.99382716],[0.99991919 0.99759894 0.999519  ],[0.89903846 0.82250342 0.82440476],[0.91225962 0.85704514 0.88860544],[0.86057692 0.79069767 0.79761905],[0.94350962 0.83310534 0.88520408]
