,n,random_state,train_BA,train_auroc,val_BA,val_auroc,test_BA,test_auroc
0,200,1001,[1. 1. 1.],[1. 1. 1.],[0.84643735 0.76895206 0.82362155],[0.87100737 0.81215162 0.87531328],[0.84482759 0.73948949 0.83734403],[0.94367816 0.81456456 0.89037433]
1,200,2001,[1. 1. 1.],[1. 1. 1.],[0.88474295 0.75694444 0.89213564],[0.92703151 0.79388889 0.92712843],[0.85504202 0.71645022 0.73744113],[0.8487395  0.84776335 0.8744113 ]
2,200,3001,[1.         0.99122807 1.        ],[1.         0.99877601 1.        ],[0.91448692 0.78142857 0.8984375 ],[0.9305835  0.82       0.95684524],[0.74315068 0.65646259 0.84048507],[0.94901065 0.83965015 0.93283582]
3,240,1001,[0.98550725 0.99125619 0.96721311],[0.99809691 0.99963567 0.99322282],[0.85995086 0.76978818 0.84962406],[0.86486486 0.80824972 0.88533835],[0.9137931  0.70983483 0.76247772],[0.95402299 0.85135135 0.89215686]
4,240,2001,[1. 1. 1.],[1. 1. 1.],[0.9274461  0.79861111 0.90692641],[0.94941957 0.82111111 0.95598846],[0.87710084 0.76839827 0.73861852],[0.85504202 0.84704185 0.87990581]
5,240,3001,[0.995      0.98425814 1.        ],[0.99975    0.99800556 1.        ],[0.91448692 0.78714286 0.9140625 ],[0.92655936 0.83314286 0.96056548],[0.81278539 0.69217687 0.82866915],[0.94444444 0.83333333 0.92910448]
6,280,1001,[1.         0.97907178 0.99008779],[1.         0.99338538 0.99929199],[0.87346437 0.77480491 0.8674812 ],[0.9004914  0.83166109 0.90225564],[0.86321839 0.72484985 0.87299465],[0.95057471 0.84309309 0.93939394]
7,280,2001,[1. 1. 1.],[1. 1. 1.],[0.94029851 0.80138889 0.93073593],[0.96600332 0.85722222 0.96031746],[0.86239496 0.7478355  0.73861852],[0.88865546 0.87590188 0.89795918]
8,280,3001,[1. 1. 1.],[1. 1. 1.],[0.94315895 0.79285714 0.92931548],[0.9668008  0.856      0.96428571],[0.86834094 0.80272109 0.79011194],[0.94824962 0.82458698 0.95584577]
9,320,1001,[0.99818182 0.98257818 0.98727351],[0.99927273 0.99119565 0.99919111],[0.87346437 0.77982163 0.87593985],[0.89312039 0.82107023 0.9066416 ],[0.87931034 0.7256006  0.82442068],[0.97011494 0.8475976  0.9402852 ]
10,320,2001,[0.99442379 0.97438718 0.99327354],[0.99868795 0.99033627 0.99930655],[0.94029851 0.82777778 0.90800866],[0.9668325  0.87777778 0.94733045],[0.86239496 0.76623377 0.75784929],[0.89285714 0.8953824  0.91208791]
11,320,3001,[0.94728288 0.92521495 0.98217085],[0.98367607 0.97594992 0.99784483],[0.92907445 0.83142857 0.92150298],[0.96579477 0.86342857 0.96577381],[0.9238965  0.82142857 0.87935323],[0.96727549 0.85471331 0.96144279]
12,360,1001,[1. 1. 1.],[1. 1. 1.],[0.89864865 0.76505017 0.86716792],[0.92383292 0.82274247 0.9160401 ],[0.81896552 0.73948949 0.92825312],[0.97471264 0.86411411 0.95811052]
13,360,2001,[0.99508197 0.970625   0.99019608],[0.99898659 0.99010937 0.99830065],[0.94029851 0.86388889 0.90800866],[0.96932007 0.89666667 0.95165945],[0.85504202 0.82034632 0.83477237],[0.88865546 0.90764791 0.92700157]
14,360,3001,[0.96777297 0.93776178 0.97866587],[0.99054032 0.98237721 0.99857272],[0.94315895 0.86285714 0.94494048],[0.97283702 0.90457143 0.97247024],[0.89611872 0.7670068  0.81094527],[0.96270928 0.86443149 0.95522388]
15,400,1001,[1.         0.99789916 1.        ],[1.         0.99997406 1.        ],[0.89373464 0.75222965 0.87656642],[0.92997543 0.80769231 0.9085213 ],[0.90517241 0.76614114 0.9184492 ],[0.97816092 0.87162162 0.96167558]
16,400,2001,[1.         0.99553571 0.99825175],[1.         0.99986049 0.99995399],[0.95522388 0.89722222 0.91594517],[0.97761194 0.90555556 0.96320346],[0.87710084 0.77489177 0.85400314],[0.8592437  0.90764791 0.94034537]
