,epoch,train_loss,train_BA,train_auroc,val_loss,val_BA,val_auroc,test_loss,test_BA,test_auroc
0,1,0.713713526725769,[0.53174603],[0.46258503],0.7763610482215881,[0.62234043],[0.53900709],0.7682528495788574,[0.6320922],[0.63829787]
1,2,0.590029776096344,[0.56349206],[0.54535147],0.7487694621086121,[0.68705674],[0.60815603],0.7450030446052551,[0.50975177],[0.68617021]
2,3,0.643613338470459,[0.59920635],[0.59259259],0.870957612991333,[0.69680851],[0.60460993],0.8708177208900452,[0.64450355],[0.67021277]
3,4,0.6498958468437195,[0.62301587],[0.63869992],0.8880136609077454,[0.65514184],[0.62056738],0.8884969353675842,[0.62411348],[0.68262411]
4,5,0.5948983430862427,[0.69444444],[0.69690098],0.7946458458900452,[0.68528369],[0.64893617],0.7935219407081604,[0.69592199],[0.70212766]
5,6,0.5690770745277405,[0.74206349],[0.75623583],0.7006548643112183,[0.72783688],[0.70567376],0.6976568102836609,[0.62322695],[0.71453901]
6,7,0.6026362180709839,[0.77777778],[0.78042328],0.7019889950752258,[0.7287234],[0.7287234],0.6961677074432373,[0.63475177],[0.72340426]
7,8,0.5931881070137024,[0.77380952],[0.7845805],0.6966791152954102,[0.71808511],[0.72163121],0.6925042867660522,[0.63475177],[0.72163121]
8,9,0.5607202649116516,[0.77380952],[0.78117914],0.6892624497413635,[0.7287234],[0.70567376],0.6905567646026611,[0.61347518],[0.7287234]
9,10,0.5517441630363464,[0.75793651],[0.77437642],0.7160236239433289,[0.7287234],[0.68085106],0.7201290726661682,[0.59219858],[0.72163121]
10,11,0.5607509016990662,[0.75793651],[0.76643991],0.7582613229751587,[0.71808511],[0.66489362],0.7634779214859009,[0.59219858],[0.70744681]
11,12,0.564042866230011,[0.75396825],[0.76946334],0.7745120525360107,[0.71808511],[0.66312057],0.7807992696762085,[0.59219858],[0.70212766]
12,13,0.5538205504417419,[0.78174603],[0.77853364],0.7532986402511597,[0.70744681],[0.67021277],0.7610717415809631,[0.59219858],[0.70390071]
13,14,0.5428112745285034,[0.78571429],[0.79289494],0.7197334170341492,[0.70744681],[0.68794326],0.7296275496482849,[0.59219858],[0.72340426]
14,15,0.5382048487663269,[0.77380952],[0.79856387],0.6952922940254211,[0.69769504],[0.68262411],0.7071566581726074,[0.60283688],[0.71276596]
15,16,0.537531316280365,[0.77777778],[0.80120937],0.6831971406936646,[0.69769504],[0.68794326],0.6960186958312988,[0.61347518],[0.70744681]
16,17,0.5368973016738892,[0.77380952],[0.80687831],0.6793408989906311,[0.69769504],[0.69326241],0.6921349763870239,[0.66578014],[0.69858156]
17,18,0.5335857272148132,[0.77380952],[0.80914588],0.6797846555709839,[0.68617021],[0.68085106],0.6921692490577698,[0.63386525],[0.69503546]
18,19,0.5265386700630188,[0.77380952],[0.81783825],0.6832395195960999,[0.67641844],[0.66489362],0.6952033638954163,[0.65514184],[0.68617021]
19,20,0.5168918371200562,[0.76984127],[0.81972789],0.6917585134506226,[0.66578014],[0.64184397],0.7028822898864746,[0.58244681],[0.67375887]
20,21,0.5074570775032043,[0.76984127],[0.8250189],0.7088699340820312,[0.66578014],[0.62411348],0.7177587151527405,[0.58244681],[0.66843972]
21,22,0.5005330443382263,[0.77380952],[0.82879819],0.7344942092895508,[0.65514184],[0.60992908],0.7389982342720032,[0.62411348],[0.66312057]
22,23,0.49508988857269287,[0.77380952],[0.83673469],0.7602013945579529,[0.62322695],[0.59042553],0.7580839395523071,[0.62322695],[0.64539007]
23,24,0.4875739812850952,[0.77380952],[0.83522298],0.7735864520072937,[0.61702128],[0.56560284],0.7630089521408081,[0.53368794],[0.64007092]
24,25,0.47875434160232544,[0.76984127],[0.83824641],0.772081732749939,[0.61702128],[0.54432624],0.75278240442276,[0.54432624],[0.65957447]
25,26,0.4743841588497162,[0.77380952],[0.84126984],0.7666337490081787,[0.61702128],[0.54255319],0.7408153414726257,[0.58599291],[0.65425532]
26,27,0.47381827235221863,[0.77777778],[0.84429327],0.7668433785438538,[0.60638298],[0.53191489],0.7376697063446045,[0.59663121],[0.65957447]
27,28,0.4704625904560089,[0.78571429],[0.84693878],0.773466944694519,[0.60638298],[0.5212766],0.7437035441398621,[0.59663121],[0.65425532]
28,29,0.4648759663105011,[0.78174603],[0.84656085],0.7866639494895935,[0.60638298],[0.51241135],0.7585138082504272,[0.59663121],[0.65957447]
29,30,0.46199730038642883,[0.78968254],[0.84693878],0.8044700622558594,[0.60638298],[0.5141844],0.779456377029419,[0.59663121],[0.65957447]
30,31,0.4608308672904968,[0.78968254],[0.84882842],0.8172034025192261,[0.60638298],[0.5177305],0.7964358329772949,[0.59663121],[0.65425532]
