,n,random_state,train_BA,train_auroc,val_BA,val_auroc,test_BA,test_auroc
0,20000,1001,[0.70260516 0.78428659 0.64363741],[0.76556539 0.85648844 0.69411549],[0.66435916 0.74873005 0.62919674],[0.71796945 0.81755107 0.66450354],[0.67232379 0.74831608 0.63371337],[0.74194392 0.82169359 0.68281722]
1,20000,2001,[0.72627405 0.78539675 0.6543929 ],[0.79344911 0.85944582 0.70406075],[0.67643765 0.74148452 0.64200573],[0.73371896 0.80670375 0.68650222],[0.69069459 0.76363992 0.59206791],[0.75632011 0.83705287 0.64446988]
2,20000,3001,[0.73044855 0.77608288 0.64772298],[0.79873849 0.84768572 0.70114571],[0.68590493 0.75836919 0.63091259],[0.73746329 0.82337064 0.67757147],[0.6724974  0.75175248 0.6313768 ],[0.73633565 0.82836671 0.68009625]
3,20000,4001,[0.70451611 0.78721455 0.6376504 ],[0.76462512 0.85920646 0.69122033],[0.66780422 0.74601613 0.63907359],[0.7316506  0.81091767 0.68289275],[0.65910703 0.74345584 0.6290235 ],[0.71774155 0.81188357 0.67678561]
4,20000,5001,[0.69841172 0.78848596 0.64275417],[0.76154061 0.85751684 0.6933339 ],[0.67240714 0.74053105 0.62485926],[0.72904317 0.80334337 0.67019915],[0.66795058 0.75495805 0.64169532],[0.73408118 0.83168599 0.69037643]
5,20000,6001,[0.72753391 0.78613653 0.66874779],[0.79819147 0.85812377 0.72814693],[0.69191224 0.76645787 0.62175356],[0.74908593 0.83734533 0.66722633],[0.66485722 0.73347983 0.62643109],[0.72503462 0.81033447 0.6786237 ]
6,20000,7001,[0.72957905 0.78698263 0.66345801],[0.80058372 0.85589019 0.71877475],[0.67546895 0.75984849 0.61634282],[0.72850013 0.8279937  0.66408979],[0.68554917 0.7482585  0.61440053],[0.7449873  0.82241586 0.6694279 ]
7,20000,8001,[0.70764623 0.78415784 0.64600983],[0.77427808 0.85424109 0.69638997],[0.67813669 0.7574174  0.61880982],[0.74370053 0.82633167 0.66304548],[0.67607366 0.76360561 0.62858343],[0.74090026 0.8328045  0.67164782]
8,20000,9001,[0.69708234 0.78449515 0.67066961],[0.75825593 0.85828094 0.73188124],[0.67769691 0.76500245 0.63020279],[0.73682624 0.83127195 0.67696892],[0.67542478 0.74954528 0.61032037],[0.73726817 0.81928056 0.65709868]
9,20000,10001,[0.72283675 0.78554278 0.64487865],[0.79213944 0.85687911 0.69769326],[0.68465123 0.75138233 0.63751911],[0.74456675 0.81904997 0.6819059 ],[0.68644551 0.74364702 0.62339271],[0.74432817 0.81954428 0.67481892]
10,20000,11001,[0.72703135 0.7806316  0.66541301],[0.79474969 0.85216086 0.72902145],[0.67001398 0.76575694 0.62498547],[0.72984335 0.83383154 0.66483346],[0.69133923 0.75844593 0.62314803],[0.75554586 0.83355158 0.67211437]
11,20000,12001,[0.72665918 0.78491114 0.63864511],[0.79454335 0.85738387 0.68929233],[0.68302812 0.74299979 0.62505217],[0.7405308  0.81233437 0.66818654],[0.67306278 0.74668882 0.6263916 ],[0.73035347 0.82175039 0.6790807 ]
12,20000,13001,[0.72800273 0.78022744 0.66838005],[0.79842482 0.85535185 0.72621963],[0.6655961  0.75065264 0.61967024],[0.71580882 0.81639811 0.66276174],[0.68281048 0.75049646 0.62634286],[0.7458263  0.81582455 0.67200705]
13,20000,14001,[0.72607884 0.78196699 0.6417802 ],[0.79730075 0.85760444 0.69369728],[0.69058704 0.76039325 0.63448052],[0.74317819 0.82853907 0.67457251],[0.67480389 0.7454156  0.63045157],[0.73395558 0.81445909 0.67723973]
14,20000,15001,[0.72517957 0.77890667 0.64595145],[0.79067632 0.85297191 0.69904375],[0.66327243 0.74912184 0.63942085],[0.72059914 0.81856658 0.68026006],[0.66911575 0.74656329 0.63125837],[0.73200869 0.82243293 0.68094582]
15,20000,16001,[0.69303805 0.79014691 0.6444647 ],[0.7593062  0.86123388 0.7040651 ],[0.67489219 0.74981536 0.62734476],[0.73263649 0.82104563 0.67200253],[0.67623442 0.74113887 0.60257098],[0.7384985  0.82089832 0.65193663]
16,20000,17001,[0.72092337 0.77983225 0.6439328 ],[0.78670963 0.85404315 0.69405854],[0.70062194 0.74358695 0.63927553],[0.75425919 0.81278454 0.67907543],[0.67973805 0.75911669 0.6166936 ],[0.74390287 0.82967493 0.66027016]
17,20000,18001,[0.69596991 0.75571795 0.64540434],[0.75861823 0.82722796 0.70542925],[0.68202215 0.7629153  0.61312613],[0.74224711 0.82471258 0.65889259],[0.67427123 0.74369842 0.62905802],[0.74692632 0.81128833 0.67352062]
18,20000,19001,[0.72768378 0.77534562 0.63941288],[0.79519376 0.849159   0.69256085],[0.67545425 0.74592194 0.62019749],[0.73685259 0.81666099 0.65970851],[0.6580275  0.73233639 0.63487664],[0.72156728 0.80936491 0.68560774]
19,20000,20001,[0.73156321 0.77908126 0.647289  ],[0.80475711 0.8544786  0.70145785],[0.67203957 0.74557132 0.6386413 ],[0.72745066 0.80592661 0.68659001],[0.68458104 0.74474455 0.62009941],[0.7330908  0.81723747 0.66751419]
20,20000,21001,[0.69361711 0.78472448 0.6472988 ],[0.76197839 0.85361008 0.70427354],[0.6888259  0.75939639 0.6382938 ],[0.74150718 0.82598721 0.67686755],[0.67691395 0.74394201 0.63628858],[0.73959031 0.81480007 0.68677619]
21,20000,22001,[0.72538346 0.782318   0.64120611],[0.79215842 0.85149611 0.69363652],[0.68242066 0.77049613 0.62457881],[0.73841426 0.83128871 0.66738216],[0.6657987  0.74217369 0.6262554 ],[0.72785502 0.80965859 0.67527968]
22,20000,23001,[0.72788055 0.77905615 0.66638049],[0.79633657 0.85324316 0.72919838],[0.68065756 0.74759018 0.62751269],[0.74031131 0.81363525 0.6699688 ],[0.68120798 0.75142806 0.64312366],[0.74369695 0.82362388 0.68902768]
23,20000,24001,[0.70262924 0.78080868 0.65513767],[0.76917794 0.85281642 0.70973861],[0.66467306 0.74804601 0.62494726],[0.71855912 0.81923333 0.67055571],[0.66170789 0.75137442 0.62072877],[0.72606359 0.81944542 0.66487204]
24,20000,25001,[0.71712583 0.78265609 0.6450073 ],[0.78594138 0.85881273 0.70214008],[0.68659463 0.748823   0.63227527],[0.744844   0.8226126  0.67607053],[0.66912129 0.74716039 0.61962007],[0.7314607  0.82193537 0.66070473]
25,20000,26001,[0.70388346 0.77249854 0.64964531],[0.76777473 0.85205548 0.70460778],[0.67374928 0.76430756 0.62539596],[0.7330169  0.82910273 0.6652227 ],[0.66184382 0.75148042 0.62695471],[0.72424506 0.82563296 0.67677275]
26,20000,27001,[0.72846881 0.78193334 0.65393412],[0.79728412 0.8575241  0.70850576],[0.67194346 0.74811405 0.6323282 ],[0.72968299 0.81098346 0.67396754],[0.68765069 0.73799625 0.62742577],[0.75041666 0.81057603 0.68063958]
27,20000,28001,[0.7250896  0.78135046 0.64268026],[0.79472278 0.85257762 0.69612112],[0.68225612 0.75153482 0.64342797],[0.74262369 0.82428629 0.69247479],[0.69072977 0.75658511 0.63304085],[0.74361692 0.82567119 0.68417304]
28,20000,29001,[0.72163028 0.78485001 0.64979445],[0.79149653 0.8559218  0.70561563],[0.6787654  0.74594957 0.64691337],[0.74059976 0.81711489 0.69574331],[0.68039423 0.74231806 0.61514189],[0.73383744 0.8106693  0.65964351]
29,20000,30001,[0.69466943 0.77880453 0.65119198],[0.76138332 0.84998529 0.71054017],[0.69207975 0.7609667  0.61795693],[0.75645239 0.82131322 0.65750505],[0.67208643 0.75708758 0.61360263],[0.73215199 0.82222958 0.6670478 ]
30,20000,31001,[0.72653165 0.77830032 0.64265016],[0.79803587 0.8539546  0.6954483 ],[0.67582775 0.74001898 0.63823721],[0.73306581 0.80891974 0.69042524],[0.67416605 0.74866815 0.63532869],[0.73475346 0.82370312 0.67410249]
31,20000,32001,[0.73113245 0.77928389 0.64745881],[0.8003928  0.85313485 0.70236355],[0.68691638 0.73335906 0.63962084],[0.74618552 0.80231431 0.68397016],[0.6690277  0.75394493 0.61635642],[0.7386909  0.8263869  0.66434932]
32,20000,33001,[0.70242506 0.78147043 0.65414451],[0.76518336 0.85919705 0.71128494],[0.66718806 0.74435438 0.61832715],[0.72591709 0.80788001 0.66329678],[0.66071592 0.74937135 0.62348606],[0.72585963 0.81787639 0.66718806]
33,20000,34001,[0.72881644 0.78515805 0.6506575 ],[0.79727893 0.85508405 0.70498282],[0.69499188 0.76839627 0.62901014],[0.75558939 0.83956601 0.67567453],[0.66848404 0.73900472 0.62277833],[0.72232977 0.81699569 0.66528144]
34,20000,35001,[0.72519275 0.77949912 0.64849636],[0.79090765 0.85463861 0.70540183],[0.66847226 0.74791    0.63554444],[0.72565176 0.81562056 0.67692233],[0.66463162 0.7465052  0.63131199],[0.72628383 0.81338417 0.67198251]
35,20000,36001,[0.72355478 0.78118266 0.64563294],[0.79136049 0.85335111 0.69848846],[0.67026303 0.74468466 0.62787498],[0.72633663 0.81470969 0.67274765],[0.67170708 0.75485323 0.61226521],[0.72625181 0.82781771 0.66102982]
36,20000,37001,[0.69737218 0.7777512  0.658612  ],[0.75887127 0.84808679 0.71546565],[0.70100266 0.77520837 0.61798897],[0.75913838 0.85032648 0.6603885 ],[0.67246582 0.75851134 0.62915677],[0.73707825 0.82494277 0.68223112]
