,n,random_state,train_BA,train_auroc,val_BA,val_auroc,test_BA,test_auroc
0,20000,61003,[0.69772567 0.78571698 0.6408286 ],[0.76421524 0.85659612 0.69285632],[0.68201851 0.75303075 0.63426458],[0.73473047 0.81840431 0.68393198],[0.67051981 0.74175356 0.63390702],[0.7359954  0.80876416 0.67899764]
1,20000,62003,[0.72791163 0.78616561 0.64439321],[0.80018109 0.85877233 0.69750708],[0.67583349 0.75613339 0.63519341],[0.7381837  0.81733271 0.67839334],[0.66930883 0.74272664 0.62713868],[0.7240094  0.81745078 0.67756878]
2,20000,63003,[0.69902541 0.78270833 0.64328212],[0.76117368 0.85353646 0.69846068],[0.68379818 0.75546053 0.63480804],[0.73940095 0.82688127 0.67514477],[0.67648119 0.74514368 0.62964273],[0.73735061 0.8151996  0.67752923]
3,20000,64003,[0.72714279 0.78273042 0.6711564 ],[0.79420484 0.85486244 0.73513241],[0.68699553 0.74274214 0.62967771],[0.74982852 0.81393912 0.6744003 ],[0.66925808 0.76542162 0.62605898],[0.72545472 0.83721426 0.67517427]
4,20000,65003,[0.73247256 0.78391798 0.64145988],[0.80150915 0.85600656 0.69686536],[0.66615758 0.75387616 0.63306008],[0.71760016 0.81794934 0.67491117],[0.67842389 0.76777408 0.61732169],[0.73862893 0.8361816  0.66784658]
5,20000,66003,[0.70472311 0.78750227 0.65484452],[0.7670711  0.85838004 0.71335052],[0.67792673 0.76325431 0.61998968],[0.73834767 0.83006068 0.66488978],[0.67340335 0.74086244 0.60940365],[0.73694242 0.80939955 0.6537501 ]
6,20000,67003,[0.72959032 0.78701581 0.64299826],[0.7986095  0.85693442 0.6986503 ],[0.7008605  0.75088586 0.6371116 ],[0.76059435 0.82689067 0.68470344],[0.68260662 0.74906931 0.62870576],[0.74289094 0.81651078 0.67532139]
7,20000,68003,[0.72409571 0.77950065 0.65668276],[0.79145064 0.85208038 0.71708662],[0.66271761 0.750563   0.620301  ],[0.71743315 0.81538643 0.66649252],[0.6630064  0.75719347 0.62108273],[0.72870655 0.83305253 0.67156055]
8,20000,69003,[0.70024332 0.78156817 0.64397069],[0.76383743 0.85504527 0.69773756],[0.67104606 0.75000777 0.64138858],[0.7298207  0.81135799 0.6863093 ],[0.6776172  0.75061777 0.62931006],[0.73565656 0.82540408 0.67539767]
9,20000,70003,[0.71521005 0.78431422 0.63722282],[0.78523909 0.85412952 0.68963002],[0.66843371 0.73981451 0.62704367],[0.72523374 0.80484745 0.67169843],[0.67853669 0.75466868 0.62264341],[0.73955548 0.8246532  0.67716225]
10,20000,71003,[0.70794911 0.78538318 0.67286113],[0.77579635 0.85759927 0.73325708],[0.68097225 0.75021574 0.61822095],[0.73922191 0.81971765 0.66337045],[0.66950559 0.75511126 0.61059472],[0.72866539 0.82700224 0.66402295]
11,20000,72003,[0.723217   0.78278029 0.64174371],[0.79289782 0.85454111 0.69671411],[0.67015728 0.7507534  0.62472368],[0.73034374 0.81426164 0.6696629 ],[0.66675266 0.7555035  0.62469699],[0.72844897 0.82883179 0.67131831]
12,20000,73003,[0.69943469 0.77956701 0.64483218],[0.76360638 0.8528743  0.69811527],[0.68627516 0.75047007 0.64312439],[0.74723505 0.81936185 0.6849357 ],[0.67553646 0.75478344 0.63010116],[0.73350723 0.82098459 0.68021248]
13,20000,74003,[0.70063039 0.78637778 0.64462409],[0.76589345 0.8599293  0.70292738],[0.68035748 0.75517453 0.6087784 ],[0.73520037 0.82066419 0.65191886],[0.67934018 0.75715415 0.63469313],[0.7417423  0.82742511 0.68699241]
14,20000,75003,[0.6912174  0.77772548 0.64694379],[0.75467873 0.85592406 0.70211357],[0.67652793 0.76755489 0.61566534],[0.73988607 0.8286749  0.65509527],[0.68178724 0.74409361 0.62865783],[0.74439524 0.8154479  0.67482319]
15,20000,76003,[0.73341572 0.78004533 0.64893075],[0.80391975 0.85476602 0.70204858],[0.68628592 0.74898981 0.63304161],[0.74204927 0.81234071 0.67192221],[0.67241895 0.7559019  0.61732374],[0.72372256 0.8240046  0.66207354]
16,20000,77003,[0.73194683 0.78282089 0.65247322],[0.80126907 0.85293521 0.70614129],[0.68507694 0.74691565 0.64090317],[0.74131408 0.81325583 0.68720723],[0.68082137 0.75921513 0.6211745 ],[0.74447043 0.82799488 0.66584925]
17,20000,78003,[0.68866397 0.78874117 0.6466367 ],[0.75475676 0.85868151 0.7007067 ],[0.68368577 0.74864029 0.61427033],[0.73987561 0.82404413 0.65969074],[0.66096387 0.73687658 0.62897862],[0.72394794 0.80765547 0.67509429]
18,20000,79003,[0.73305293 0.77637049 0.64907394],[0.80124904 0.85322766 0.69712348],[0.66776177 0.76703991 0.62388066],[0.72099743 0.83716599 0.66712022],[0.66498925 0.73336478 0.63752832],[0.72646994 0.81039134 0.69042818]
