,n,random_state,train_BA,train_auroc,val_BA,val_auroc,test_BA,test_auroc
0,200,1001,[0.79979571 0.73333333 0.73013219],[0.81154239 0.79803922 0.787068  ],[0.63507077 0.67985708 0.54648319],[0.66493573 0.73191571 0.55944552],[0.65107024 0.69175081 0.55387147],[0.69079718 0.74019876 0.57852907]
1,200,2001,[0.82122905 0.87164751 0.78281912],[0.87283852 0.90441621 0.86186731],[0.6245026  0.67352862 0.58858873],[0.66506375 0.72111367 0.60958335],[0.64840293 0.69411226 0.56756562],[0.70263285 0.75046078 0.58914357]
2,200,3001,[0.77039178 0.77367424 0.68342372],[0.82273603 0.83522727 0.7370324 ],[0.62341192 0.66301414 0.59466514],[0.64939541 0.70634519 0.60841905],[0.62168796 0.67660678 0.59692673],[0.66425025 0.72762761 0.61803893]
3,240,1001,[0.76419842 0.72886922 0.703125  ],[0.79834651 0.77641348 0.76475694],[0.63221494 0.67773304 0.56368396],[0.66143413 0.72811977 0.5764621 ],[0.64416552 0.68318055 0.56370069],[0.68559419 0.73469724 0.59053471]
4,240,2001,[0.78073329 0.87615283 0.79511708],[0.85136592 0.91187235 0.85665334],[0.63251923 0.67838707 0.59426346],[0.66903284 0.72286179 0.61789197],[0.64416066 0.70302992 0.57122536],[0.69432599 0.7547204  0.59339524]
5,240,3001,[0.77635235 0.77490871 0.69537643],[0.8050335  0.82942097 0.72504092],[0.63152934 0.6591799  0.59363859],[0.65678982 0.70339668 0.60902251],[0.62545652 0.67371003 0.59423012],[0.66332661 0.72441857 0.61697151]
6,280,1001,[0.76189431 0.73673674 0.68069986],[0.78875714 0.78656434 0.75529881],[0.63441532 0.68058398 0.5519029 ],[0.66500938 0.73349715 0.56759572],[0.64824932 0.68792408 0.56802236],[0.68879617 0.74008105 0.59066843]
7,280,2001,[0.76116225 0.85510204 0.77295457],[0.8432477  0.8845481  0.83859985],[0.63858031 0.68183033 0.5949995 ],[0.67781559 0.72522537 0.61743738],[0.6514898  0.70488141 0.56723595],[0.7044693  0.75793075 0.59458551]
8,280,3001,[0.76536621 0.78093017 0.69595061],[0.80039259 0.84130069 0.71945701],[0.62947312 0.6700401  0.58997804],[0.66016849 0.71507682 0.60486888],[0.62841337 0.680774   0.59361496],[0.67123855 0.73496076 0.61558304]
9,320,1001,[0.73260479 0.75357143 0.67634027],[0.78587266 0.79214286 0.73871764],[0.63399048 0.67859005 0.57828413],[0.66374208 0.73379837 0.60318726],[0.64981552 0.68217625 0.58400504],[0.68644954 0.74091686 0.6125619 ]
10,320,2001,[0.76713124 0.85714286 0.78415945],[0.84531728 0.88151786 0.8387971 ],[0.63851128 0.68207404 0.59775782],[0.67813655 0.72484046 0.62001408],[0.6465736  0.70863909 0.57075101],[0.70008876 0.75994222 0.59726925]
11,320,3001,[0.7764411  0.81607143 0.703125  ],[0.84481203 0.86892857 0.77154541],[0.62143225 0.67433538 0.58981092],[0.64990109 0.72031732 0.60962639],[0.62154737 0.6807259  0.59850867],[0.66631326 0.73821691 0.61935501]
12,360,1001,[0.74019287 0.73516129 0.66513963],[0.78228179 0.77954839 0.71704274],[0.6297232  0.67233627 0.58974225],[0.6610841  0.72788237 0.6147395 ],[0.6389557  0.67894272 0.59206388],[0.68144943 0.73550526 0.63105485]
13,360,2001,[0.755966   0.82889297 0.74909348],[0.83188951 0.86508301 0.80271649],[0.64571358 0.68485236 0.59918454],[0.68505429 0.73353447 0.62294099],[0.65201758 0.71751436 0.57029862],[0.71089067 0.76546906 0.59860705]
14,360,3001,[0.796875   0.81631185 0.69729064],[0.835625   0.87442463 0.7691133 ],[0.6287687  0.67027718 0.59347148],[0.66255079 0.71644708 0.61368073],[0.62251804 0.67632893 0.59807345],[0.6719207  0.73357775 0.62106653]
15,800,1001,[0.73046476 0.74297713 0.69220848],[0.79610891 0.80490477 0.748418  ],[0.63945547 0.69195004 0.59320092],[0.67363869 0.74950988 0.62137923],[0.65705684 0.70067094 0.60386112],[0.70435767 0.75587159 0.65157302]
16,800,2001,[0.85605016 0.86102825 0.81147559],[0.90833708 0.93044748 0.86557109],[0.63761164 0.71987961 0.60683308],[0.67743404 0.77430259 0.63594802],[0.65196405 0.73428696 0.58210114],[0.70147034 0.8000536  0.60974214]
17,800,3001,[0.75609195 0.77749985 0.67974866],[0.80914023 0.82629136 0.73532947],[0.63237325 0.68799221 0.59423542],[0.670476   0.73426192 0.61523261],[0.63046958 0.6867085  0.60047547],[0.67701267 0.74213785 0.62339393]
18,1600,1001,[0.72780545 0.7442473  0.67559524],[0.79534426 0.81371212 0.72664773],[0.64509119 0.71097269 0.58925682],[0.68971084 0.76640557 0.61842011],[0.66225467 0.71827455 0.61495737],[0.71216087 0.77543303 0.65051467]
