,n,random_state,train_BA,train_auroc,val_BA,val_auroc,test_BA,test_auroc
0,200,1001,[0.79979571 0.73333333 0.73013219],[0.81154239 0.79803922 0.787068  ],[0.63507077 0.67985708 0.54648319],[0.66493573 0.73191571 0.55944552],[0.65107024 0.69175081 0.55387147],[0.69079718 0.74019876 0.57852907]
1,200,2001,[0.82122905 0.87164751 0.78281912],[0.87283852 0.90441621 0.86186731],[0.6245026  0.67352862 0.58858873],[0.66506375 0.72111367 0.60958335],[0.64840293 0.69411226 0.56756562],[0.70263285 0.75046078 0.58914357]
2,200,3001,[0.77039178 0.77367424 0.68342372],[0.82273603 0.83522727 0.7370324 ],[0.62341192 0.66301414 0.59466514],[0.64939541 0.70634519 0.60841905],[0.62168796 0.67660678 0.59692673],[0.66425025 0.72762761 0.61803893]
3,240,1001,[0.76419842 0.72886922 0.703125  ],[0.79834651 0.77641348 0.76475694],[0.63221494 0.67773304 0.56368396],[0.66143413 0.72811977 0.5764621 ],[0.64416552 0.68318055 0.56370069],[0.68559419 0.73469724 0.59053471]
4,240,2001,[0.78073329 0.87615283 0.79511708],[0.85136592 0.91187235 0.85665334],[0.63251923 0.67838707 0.59426346],[0.66903284 0.72286179 0.61789197],[0.64416066 0.70302992 0.57122536],[0.69432599 0.7547204  0.59339524]
5,240,3001,[0.77635235 0.77490871 0.69537643],[0.8050335  0.82942097 0.72504092],[0.63152934 0.6591799  0.59363859],[0.65678982 0.70339668 0.60902251],[0.62545652 0.67371003 0.59423012],[0.66332661 0.72441857 0.61697151]
6,280,1001,[0.76189431 0.73673674 0.68069986],[0.78875714 0.78656434 0.75529881],[0.63441532 0.68058398 0.5519029 ],[0.66500938 0.73349715 0.56759572],[0.64824932 0.68792408 0.56802236],[0.68879617 0.74008105 0.59066843]
7,280,2001,[0.76116225 0.85510204 0.77295457],[0.8432477  0.8845481  0.83859985],[0.63858031 0.68183033 0.5949995 ],[0.67781559 0.72522537 0.61743738],[0.6514898  0.70488141 0.56723595],[0.7044693  0.75793075 0.59458551]
8,280,3001,[0.76536621 0.78093017 0.69595061],[0.80039259 0.84130069 0.71945701],[0.62947312 0.6700401  0.58997804],[0.66016849 0.71507682 0.60486888],[0.62841337 0.680774   0.59361496],[0.67123855 0.73496076 0.61558304]
9,320,1001,[0.73260479 0.75357143 0.67634027],[0.78587266 0.79214286 0.73871764],[0.63399048 0.67859005 0.57828413],[0.66374208 0.73379837 0.60318726],[0.64981552 0.68217625 0.58400504],[0.68644954 0.74091686 0.6125619 ]
10,320,2001,[0.76713124 0.85714286 0.78415945],[0.84531728 0.88151786 0.8387971 ],[0.63851128 0.68207404 0.59775782],[0.67813655 0.72484046 0.62001408],[0.6465736  0.70863909 0.57075101],[0.70008876 0.75994222 0.59726925]
11,320,3001,[0.7764411  0.81607143 0.703125  ],[0.84481203 0.86892857 0.77154541],[0.62143225 0.67433538 0.58981092],[0.64990109 0.72031732 0.60962639],[0.62154737 0.6807259  0.59850867],[0.66631326 0.73821691 0.61935501]
12,360,1001,[0.74019287 0.73516129 0.66513963],[0.78228179 0.77954839 0.71704274],[0.6297232  0.67233627 0.58974225],[0.6610841  0.72788237 0.6147395 ],[0.6389557  0.67894272 0.59206388],[0.68144943 0.73550526 0.63105485]
13,360,2001,[0.755966   0.82889297 0.74909348],[0.83188951 0.86508301 0.80271649],[0.64571358 0.68485236 0.59918454],[0.68505429 0.73353447 0.62294099],[0.65201758 0.71751436 0.57029862],[0.71089067 0.76546906 0.59860705]
14,360,3001,[0.796875   0.81631185 0.69729064],[0.835625   0.87442463 0.7691133 ],[0.6287687  0.67027718 0.59347148],[0.66255079 0.71644708 0.61368073],[0.62251804 0.67632893 0.59807345],[0.6719207  0.73357775 0.62106653]
15,400,1001,[0.73055556 0.73565618 0.6825641 ],[0.78201389 0.77558339 0.72504615],[0.63314425 0.67746731 0.58936486],[0.66766288 0.73114358 0.61529162],[0.64793093 0.67878265 0.59848058],[0.68695089 0.73774021 0.63593365]
16,400,2001,[0.86890105 0.89341238 0.85937424],[0.94234903 0.94587615 0.90541129],[0.6400696  0.69524374 0.5976298 ],[0.68070136 0.74518748 0.6263637 ],[0.64314254 0.71615919 0.58049099],[0.69742611 0.7800936  0.60533171]
17,400,3001,[0.7985799  0.81285714 0.69863832],[0.83225848 0.85897143 0.76580666],[0.62739297 0.68223127 0.59125127],[0.66374534 0.72850434 0.60951896],[0.62465987 0.68805165 0.59428361],[0.67253767 0.73908728 0.6185838 ]
