,n,random_state,train_BA,train_auroc,val_BA,val_auroc,test_BA,test_auroc
0,200,1001,[0.84862013 0.90724206],[0.93374594 0.95300099],[0.79977669 0.72133308],[0.8665701  0.76381457],[0.7883432  0.69658038],[0.87774295 0.77889102]
1,200,2001,[0.95032051 0.96      ],[0.97185497 0.98293333],[0.80889521 0.72955019],[0.86540766 0.79735366],[0.74999004 0.65241148],[0.8182914  0.71429792]
2,200,3001,[0.96980676 0.92308198],[0.99476651 0.96262666],[0.79183536 0.69456845],[0.8644779  0.73670015],[0.78172639 0.69679634],[0.85734114 0.76829158]
3,240,1001,[0.84550265 0.87352941],[0.92768959 0.94378151],[0.80553443 0.72146724],[0.86694429 0.7696545 ],[0.80678045 0.69620486],[0.88075003 0.78857462]
4,240,2001,[0.94642857 0.95266411],[0.97356306 0.98651559],[0.80490578 0.76130807],[0.86709602 0.81247303],[0.77212958 0.66929182],[0.82654952 0.73689866]
5,240,3001,[0.98106061 0.91175679],[0.99824635 0.96027262],[0.78205128 0.68526786],[0.86026063 0.73446801],[0.7576916  0.65875286],[0.84768327 0.76106528]
6,280,1001,[0.84343434 0.86863329],[0.925067   0.93399094],[0.81123785 0.72225642],[0.87289517 0.77527345],[0.80842331 0.7137504 ],[0.89109486 0.80046341]
7,280,2001,[0.96648849 0.89620504],[0.98560855 0.96077598],[0.8146547  0.74299763],[0.87059528 0.80997411],[0.77503835 0.68769841],[0.8306736  0.74223443]
8,280,3001,[0.96666667 0.89368672],[0.99579487 0.94844815],[0.79385965 0.69122024],[0.85982836 0.73784279],[0.7582063  0.70881007],[0.8552592 0.7763459]
9,320,1001,[0.85733502 0.86110178],[0.92914227 0.93430587],[0.81411672 0.73662737],[0.87652846 0.7839702 ],[0.81343318 0.71612336],[0.88978289 0.80528923]
10,320,2001,[0.95770202 0.93759271],[0.98086332 0.97695486],[0.81038614 0.75880016],[0.87103099 0.81811808],[0.78233021 0.6751221 ],[0.83560457 0.76118437]
11,320,3001,[0.96285714 0.85291113],[0.99322167 0.92548276],[0.79272099 0.70126488],[0.85853155 0.7402078 ],[0.77423142 0.70108696],[0.85726017 0.78063652]
12,360,1001,[0.85847224 0.87115385],[0.93269833 0.93884615],[0.82172129 0.72958789],[0.87460921 0.78927348],[0.81166841 0.71255193],[0.88848253 0.80926814]
13,360,2001,[0.95571979 0.83061072],[0.98121351 0.91720221],[0.80872501 0.75151014],[0.87137139 0.81479218],[0.78421792 0.66761294],[0.83678999 0.76471306]
14,360,3001,[0.87412587 0.8516124 ],[0.93121989 0.91879576],[0.79601046 0.69754464],[0.86074561 0.74590774],[0.77346804 0.70580664],[0.86998311 0.78286463]
15,800,1001,[0.8450663  0.84045911],[0.91907017 0.91397418],[0.82838433 0.75263191],[0.88829742 0.81694209],[0.8164751  0.73178332],[0.88998026 0.81930329]
16,800,2001,[0.86721498 0.82143882],[0.94357219 0.90383275],[0.82362753 0.78330397],[0.89009313 0.84021286],[0.78661865 0.69740537],[0.84804654 0.79197802]
17,800,3001,[0.85717152 0.9379586 ],[0.92994338 0.98173396],[0.80225202 0.73697917],[0.86080887 0.77733046],[0.79911055 0.70780892],[0.88894029 0.79019631]
18,1600,1001,[0.85745119 0.83454629],[0.93029389 0.91407572],[0.83030358 0.77530502],[0.89279981 0.83705037],[0.81992337 0.7464046 ],[0.890584   0.82331416]
19,1600,2001,[0.87451103 0.81694758],[0.94733375 0.89454328],[0.82861091 0.80046383],[0.89119601 0.84839278],[0.78921862 0.73403541],[0.85058674 0.79800977]
20,1600,3001,[0.85444396 0.83657853],[0.9257648  0.90943846],[0.80794534 0.72358631],[0.86885332 0.78309683],[0.81930533 0.72096682],[0.90139721 0.82617729]
21,3200,1001,[0.85071115 0.82217062],[0.92582992 0.89701096],[0.84134227 0.77414492],[0.90100791 0.84164339],[0.81018809 0.74976031],[0.89993034 0.83919783]
22,3200,2001,[0.8614137  0.81657919],[0.93575666 0.89509895],[0.83215103 0.79922336],[0.90001906 0.85520639],[0.78697229 0.72847985],[0.86598729 0.80321123]
23,3200,3001,[0.85494525 0.87802878],[0.92565289 0.94536104],[0.81743421 0.73325893],[0.86965461 0.79381909],[0.83339309 0.72840389],[0.90678711 0.81190534]
