,n,random_state,train_BA,train_auroc,val_BA,val_auroc,test_BA,test_auroc
0,60,1001,[0.87542088 1.        ],[0.95286195 1.        ],[0.80103205 0.71181558],[0.86415595 0.74225421],[0.78325206 0.64714765],[0.86802508 0.71096197]
1,60,2001,[0.9023569 1.       ],[0.94725028 1.        ],[0.79079299 0.66592658],[0.83842111 0.69815188],[0.72851792 0.5965812 ],[0.78939294 0.65173382]
2,60,3001,[1. 1.],[1. 1.],[0.76290486 0.66815476],[0.83522056 0.71687659],[0.72681533 0.64759725],[0.81000023 0.70080092]
3,94,1001,[0.89045455 1.        ],[0.95318182 1.        ],[0.80241415 0.71094749],[0.86341964 0.73516738],[0.7923778  0.65864493],[0.8502264  0.72527964]
4,94,2001,[0.98958333 1.        ],[0.9995471 1.       ],[0.81631583 0.66451532],[0.86843037 0.7285704 ],[0.75162373 0.627442  ],[0.81305162 0.65876679]
5,94,3001,[0.91792066 1.        ],[0.96808026 1.        ],[0.78555162 0.68154762],[0.84843117 0.72301499],[0.77333503 0.68006293],[0.84283698 0.7291491 ]
6,147,1001,[0.85527778 0.93577982],[0.93314815 0.96016417],[0.79923954 0.71089225],[0.86527853 0.75076156],[0.78560316 0.68561042],[0.87148496 0.75830936]
7,147,2001,[0.95209414 0.99115044],[0.98295033 0.99895888],[0.82218425 0.70400367],[0.87846523 0.75758665],[0.75840755 0.61877289],[0.82232582 0.68974359]
8,147,3001,[0.99350649 0.92142857],[0.99981447 0.96984127],[0.77572537 0.69605655],[0.85800439 0.74411405],[0.76308728 0.71639016],[0.8380601  0.77088101]
9,230,1001,[0.83997365 0.87098214],[0.92651732 0.94080357],[0.79761603 0.71450668],[0.86287646 0.76449327],[0.80497504 0.69263343],[0.8819459  0.78721636]
10,230,2001,[0.94878809 0.95943616],[0.97636958 0.98549843],[0.80252982 0.76373508],[0.86602037 0.8154214 ],[0.75494093 0.66135531],[0.82322236 0.73946276]
11,230,3001,[0.98328755 0.92809   ],[0.99855006 0.96362375],[0.78892544 0.6875    ],[0.86235872 0.73642113],[0.774856  0.6826373],[0.85342016 0.76740335]
12,360,1001,[0.85847224 0.87115385],[0.93269833 0.93884615],[0.82172129 0.72958789],[0.87460921 0.78927348],[0.81166841 0.71255193],[0.88848253 0.80926814]
13,360,2001,[0.95571979 0.83061072],[0.98121351 0.91720221],[0.80872501 0.75151014],[0.87137139 0.81479218],[0.78421792 0.66761294],[0.83678999 0.76471306]
14,360,3001,[0.87412587 0.8516124 ],[0.93121989 0.91879576],[0.79601046 0.69754464],[0.86074561 0.74590774],[0.77346804 0.70580664],[0.86998311 0.78286463]
15,414,1001,[0.84748011 0.86162644],[0.92696097 0.93467204],[0.81821474 0.73599602],[0.87744583 0.79650236],[0.8187275  0.70558485],[0.8867758  0.81083413]
16,414,2001,[0.86543563 0.83319464],[0.93120935 0.914409  ],[0.80794891 0.74670106],[0.8685393  0.82088667],[0.77870918 0.6974359 ],[0.82961768 0.76800977]
17,414,3001,[0.86627252 0.8409689 ],[0.92942943 0.91363636],[0.79908907 0.70089286],[0.86035552 0.74697066],[0.77951722 0.71853547],[0.87856531 0.79370408]
18,475,1001,[0.83803677 0.86205583],[0.92043659 0.92348882],[0.82236707 0.7375507 ],[0.88134468 0.79926449],[0.82160687 0.71947907],[0.88732149 0.81292745]
19,475,2001,[0.86055727 0.82757766],[0.92938124 0.90964026],[0.81182942 0.75277758],[0.8676815  0.81986193],[0.76514155 0.69429182],[0.83123145 0.77692308]
20,475,3001,[0.86616845 0.82676056],[0.93136067 0.9091784 ],[0.79967949 0.70610119],[0.86124114 0.75847683],[0.79837609 0.73197941],[0.88023086 0.80299289]
21,546,1001,[0.84689716 0.85216497],[0.9215207  0.92241319],[0.81882431 0.73786638],[0.8846762  0.80560948],[0.81359573 0.73290189],[0.89150122 0.81975072]
22,546,2001,[0.86269011 0.81941916],[0.93108888 0.9075354 ],[0.81974702 0.75400007],[0.87192963 0.81775852],[0.77845516 0.7015873 ],[0.83795549 0.78297924]
23,546,3001,[0.86068205 0.94801681],[0.93103913 0.98501007],[0.80280027 0.72321429],[0.8654057  0.77054103],[0.79902959 0.70351831],[0.88141063 0.78519812]
24,627,1001,[0.84555306 0.83952747],[0.92412595 0.9223119 ],[0.82520973 0.73478069],[0.88465206 0.80546743],[0.81318936 0.74477469],[0.89240683 0.81800895]
25,627,2001,[0.87660819 0.81585824],[0.94896891 0.89773531],[0.81963809 0.76244966],[0.88045313 0.82633396],[0.7807513  0.68934676],[0.84643277 0.78445665]
26,627,3001,[0.86422798 0.94680511],[0.92806712 0.98355237],[0.80301113 0.73139881],[0.86565874 0.77924373],[0.80358093 0.70909611],[0.88306461 0.78054619]
27,720,1001,[0.84815685 0.84137742],[0.92536956 0.91744258],[0.82777476 0.74184384],[0.88629368 0.80999732],[0.81803669 0.74670022],[0.8924881  0.82026206]
28,720,2001,[0.87629853 0.82290943],[0.94803558 0.90278402],[0.81853521 0.79185244],[0.89063776 0.84231627],[0.76529596 0.69328449],[0.84447034 0.79178266]
29,720,3001,[0.85601861 0.90814909],[0.92761388 0.9641275 ],[0.80250506 0.7328869 ],[0.86445682 0.78103741],[0.8006373  0.70509153],[0.88535474 0.78610141]
