,n,random_state,train_BA,train_auroc,val_BA,val_auroc,test_BA,test_auroc
0,200,1001,[0.88242062],[0.93357877],[0.7752193],[0.81907895],[0.5443459],[0.62527716]
1,200,2001,[0.98809524],[0.99216395],[0.72695035],[0.72907801],[0.65555556],[0.60444444]
2,200,3001,[0.83],[0.89813333],[0.76339869],[0.78300654],[0.67925824],[0.69093407]
3,240,1001,[0.86074271],[0.93046609],[0.85361842],[0.8497807],[0.63858093],[0.64745011]
4,240,2001,[0.92709232],[0.96587096],[0.7964539],[0.74609929],[0.72222222],[0.79851852]
5,240,3001,[0.99147727],[0.99103338],[0.82679739],[0.85359477],[0.67994505],[0.71840659]
6,280,1001,[0.89047619],[0.95829932],[0.84813596],[0.85087719],[0.60532151],[0.6097561]
7,280,2001,[0.93837152],[0.96755658],[0.7858156],[0.72624113],[0.73333333],[0.83259259]
8,280,3001,[0.96208531],[0.98495776],[0.79281046],[0.8130719],[0.78021978],[0.77197802]
9,320,1001,[0.8996849],[0.9693166],[0.86403509],[0.83991228],[0.65077605],[0.62527716]
10,320,2001,[0.99583333],[0.99421875],[0.79503546],[0.77021277],[0.6],[0.68148148]
11,320,3001,[0.96638655],[0.98637016],[0.81503268],[0.82352941],[0.73282967],[0.76923077]
12,360,1001,[0.8812043],[0.94958944],[0.85855263],[0.86184211],[0.60532151],[0.66962306]
13,360,2001,[0.90728423],[0.95790071],[0.7751773],[0.70496454],[0.7],[0.79259259]
14,360,3001,[0.96629213],[0.98377029],[0.81503268],[0.81568627],[0.70879121],[0.75]
15,400,1001,[0.87772869],[0.94568607],[0.85855263],[0.85745614],[0.61751663],[0.70509978]
16,400,2001,[0.89854722],[0.94921711],[0.75106383],[0.76170213],[0.78888889],[0.78518519]
17,400,3001,[0.84680353],[0.91511824],[0.79281046],[0.78169935],[0.70604396],[0.74450549]
18,440,1001,[0.99691358],[0.99816411],[0.88541667],[0.87938596],[0.63525499],[0.70288248]
19,440,2001,[0.88723506],[0.9417057],[0.74042553],[0.76028369],[0.74444444],[0.81037037]
20,440,3001,[0.8786501],[0.94517063],[0.76013072],[0.77254902],[0.75961538],[0.75412088]
