,epoch,train_loss,train_BA,train_auroc,val_loss,val_BA,val_auroc,test_loss,test_BA,test_auroc
0,1,0.7192076444625854,[0.56657609],[0.54098732],0.6671828175894916,[0.64285714],[0.61275089],0.6646133866161108,[0.64506173],[0.76646091]
1,2,0.8290504217147827,[0.54800725],[0.51019022],0.650933312746929,[0.6038961],[0.50177096],0.6477796041872352,[0.55092593],[0.70061728]
2,3,0.8982862830162048,[0.52158816],[0.49079106],0.7022616936519626,[0.6038961],[0.47697757],0.6967329800972948,[0.53858025],[0.63065844]
3,4,0.7422524094581604,[0.5307971],[0.48471467],0.5932434944552369,[0.5974026],[0.47697757],0.5840432762634009,[0.53240741],[0.61831276]
4,5,0.6722694635391235,[0.52807971],[0.48441274],0.554723057866795,[0.61038961],[0.47815821],0.5449961565900594,[0.52006173],[0.61934156]
5,6,0.6602562665939331,[0.52551329],[0.48588466],0.5506634196499363,[0.59090909],[0.47579693],0.5429781337734312,[0.52623457],[0.61213992]
6,7,0.6476448774337769,[0.53396739],[0.49958484],0.5509691943880171,[0.58441558],[0.50177096],0.5431796107441187,[0.6095679],[0.6563786]
7,8,0.6490089297294617,[0.55208333],[0.53060839],0.5697918466757983,[0.64935065],[0.55489965],0.5496556812431663,[0.64814815],[0.73559671]
8,9,0.6641019582748413,[0.56265097],[0.54193086],0.5919241879601032,[0.62337662],[0.5596222],0.5579083054326475,[0.64814815],[0.75514403]
9,10,0.6575006246566772,[0.5615942],[0.54344052],0.5843585499096662,[0.6038961],[0.56198347],0.5560303679667413,[0.63580247],[0.74485597]
10,11,0.6476401686668396,[0.54966787],[0.52600393],0.5689946664497256,[0.66883117],[0.55371901],0.5565660197753459,[0.61265432],[0.67901235]
11,12,0.6458992958068848,[0.52898551],[0.50079257],0.5594558612210676,[0.61688312],[0.50413223],0.5581213197438046,[0.57098765],[0.57921811]
12,13,0.647808849811554,[0.52551329],[0.48611111],0.5542669057613239,[0.55194805],[0.48760331],0.5576676339842379,[0.50771605],[0.55658436]
