,epoch,train_loss,train_BA,train_auroc,val_loss,val_BA,val_auroc,test_loss,test_BA,test_auroc
0,1,0.5587501525878906,[0.51044177],[0.44212851],0.6097138256300241,[0.72058824],[0.60171569],0.5508344536647201,[0.53613054],[0.50932401]
1,2,0.771111011505127,[0.53493976],[0.49626506],0.9248556991078658,[0.55392157],[0.34068627],0.7365770716278348,[0.62354312],[0.63636364]
2,3,0.8305532932281494,[0.53554217],[0.48393574],1.0090662090005935,[0.54656863],[0.33210784],0.7859527799955686,[0.61072261],[0.60722611]
3,4,0.6621459126472473,[0.53313253],[0.47843373],0.8075874269707128,[0.5245098],[0.33333333],0.6193984812489362,[0.58508159],[0.58741259]
4,5,0.5671498775482178,[0.53433735],[0.47405622],0.6790982088423334,[0.54656863],[0.32720588],0.532000916195102,[0.61072261],[0.59440559]
5,6,0.5611590147018433,[0.5246988],[0.47333333],0.6668439672794193,[0.54656863],[0.31372549],0.529059941181913,[0.61072261],[0.5979021]
6,7,0.5573421716690063,[0.51837349],[0.47345382],0.6538400532444939,[0.55392157],[0.30392157],0.527025296818465,[0.6497669],[0.61305361]
7,8,0.5590278506278992,[0.52570281],[0.49196787],0.6425455622375011,[0.56127451],[0.27941176],0.5277245799079537,[0.61713287],[0.68531469]
8,9,0.5662127733230591,[0.53544177],[0.51088353],0.6421319649089128,[0.56127451],[0.31495098],0.5317491900641471,[0.57167832],[0.73426573]
9,10,0.56908118724823,[0.54126506],[0.51566265],0.6434291338082403,[0.56127451],[0.32965686],0.5332082589156926,[0.57167832],[0.74592075]
10,11,0.565306544303894,[0.54166667],[0.50855422],0.6413390388479456,[0.56127451],[0.31617647],0.5310682891868055,[0.61713287],[0.73076923]
11,12,0.5599555373191833,[0.54076305],[0.49032129],0.6418253355659544,[0.53921569],[0.28431373],0.5291685328120366,[0.6497669],[0.67832168]
12,13,0.5573083758354187,[0.53785141],[0.47991968],0.6485406503779814,[0.53921569],[0.28063725],0.5293670528335497,[0.57226107],[0.62587413]
13,14,0.5577595233917236,[0.51586345],[0.46911647],0.6575498564634472,[0.53921569],[0.30514706],0.5307903602370061,[0.57867133],[0.58857809]
14,15,0.5591784715652466,[0.52028112],[0.46485944],0.6644175624242052,[0.54656863],[0.30759804],0.5320632142829709,[0.58508159],[0.58508159]
15,16,0.5603469610214233,[0.52379518],[0.46381526],0.6685574722941965,[0.54656863],[0.3125],0.5328533133724704,[0.58508159],[0.57925408]
16,17,0.561068594455719,[0.52138554],[0.46353414],0.6708172640064731,[0.54656863],[0.31495098],0.5333056557574309,[0.57867133],[0.57575758]
17,18,0.5614181160926819,[0.52259036],[0.46341365],0.6719046141952276,[0.54656863],[0.31495098],0.5335676806862466,[0.57867133],[0.57692308]
18,19,0.5614742040634155,[0.52138554],[0.46297189],0.6721961235161871,[0.54656863],[0.31495098],0.5337166941899341,[0.57867133],[0.57459207]
19,20,0.5612766146659851,[0.52138554],[0.46353414],0.6718339301878586,[0.54656863],[0.31617647],0.5337783191644121,[0.57867133],[0.57575758]
20,21,0.5608330368995667,[0.52379518],[0.46373494],0.6708000294165686,[0.54656863],[0.31617647],0.5337430564686656,[0.57867133],[0.57459207]
