,n,random_state,train_BA,train_auroc,val_BA,val_auroc,test_BA,test_auroc
0,60,1001,[0.93478261],[0.97204969],[0.74025974],[0.66233766],[0.58796296],[0.718107]
1,60,2001,[0.73557692],[0.74759615],[0.53921569],[0.31862745],[0.57167832],[0.71561772]
2,60,3001,[0.80997305],[0.78706199],[0.54225352],[0.41079812],[0.52439024],[0.4992378]
3,60,4001,[0.80172414],[0.79310345],[0.67753623],[0.64855072],[0.51549296],[0.62112676]
4,60,5001,[0.68300654],[0.71023965],[0.5641953],[0.49186257],[0.57631579],[0.58333333]
5,60,6001,[0.76470588],[0.81263617],[0.60745614],[0.43640351],[0.54666667],[0.47466667]
6,60,7001,[0.75],[0.72222222],[0.5451249],[0.4085415],[0.57692308],[0.57186235]
7,60,8001,[0.96153846],[0.99038462],[0.63141026],[0.65598291],[0.45131579],[0.50789474]
8,60,9001,[0.82189239],[0.84972171],[0.5974359],[0.54102564],[0.51228632],[0.49465812]
9,60,10001,[0.99038462],[0.98798077],[0.71046077],[0.72976339],[0.64912281],[0.69736842]
10,60,11001,[0.79411765],[0.84749455],[0.57371795],[0.49786325],[0.52056277],[0.49891775]
11,60,12001,[0.7],[0.71],[0.62554113],[0.61212121],[0.65398551],[0.70772947]
12,60,13001,[0.9893617],[0.99672668],[0.61077236],[0.53861789],[0.44871795],[0.40335306]
13,60,14001,[0.79090909],[0.85090909],[0.61575758],[0.55272727],[0.53214286],[0.61309524]
14,60,15001,[0.84134615],[0.85336538],[0.73755656],[0.74208145],[0.55797101],[0.65821256]
15,94,1001,[0.87837838],[0.9527027],[0.68181818],[0.63636364],[0.60493827],[0.73353909]
16,94,2001,[0.63691128],[0.64841183],[0.55392157],[0.34926471],[0.57808858],[0.67016317]
17,94,3001,[0.625],[0.59756098],[0.58920188],[0.51877934],[0.55106707],[0.56402439]
18,94,4001,[0.7994186],[0.82412791],[0.63405797],[0.62801932],[0.5443662],[0.62816901]
19,94,5001,[0.70607787],[0.67616334],[0.55922242],[0.49005425],[0.49254386],[0.58333333]
20,94,6001,[0.65892857],[0.69285714],[0.5745614],[0.50328947],[0.58666667],[0.57333333]
21,94,7001,[0.75903614],[0.76998905],[0.55278002],[0.42788074],[0.58552632],[0.56983806]
22,94,8001,[0.87900641],[0.93990385],[0.78098291],[0.80555556],[0.56929825],[0.55789474]
23,94,9001,[0.81139241],[0.85400844],[0.63076923],[0.61196581],[0.51228632],[0.5267094]
24,94,10001,[0.94249726],[0.97590361],[0.70797011],[0.72353674],[0.48684211],[0.52960526]
25,94,11001,[0.78438819],[0.83291139],[0.6474359],[0.63247863],[0.55898268],[0.61038961]
26,94,12001,[0.8373494],[0.85761227],[0.65151515],[0.60779221],[0.62681159],[0.72101449]
27,94,13001,[0.81959459],[0.90810811],[0.66971545],[0.6300813],[0.59615385],[0.59171598]
28,94,14001,[0.78860898],[0.82803943],[0.62242424],[0.54666667],[0.50833333],[0.59642857]
29,94,15001,[0.82772436],[0.83413462],[0.72036199],[0.74751131],[0.54166667],[0.68357488]
30,147,1001,[0.92622951],[0.96918033],[0.70779221],[0.65879575],[0.61419753],[0.60699588]
31,147,2001,[0.87301587],[0.92441421],[0.65686275],[0.6372549],[0.63170163],[0.70979021]
32,147,3001,[0.56782946],[0.50516796],[0.64260563],[0.57276995],[0.52362805],[0.56935976]
33,147,4001,[0.83204134],[0.86347976],[0.67934783],[0.68478261],[0.47183099],[0.7028169]
34,147,5001,[0.6520362],[0.62714932],[0.53842676],[0.48462929],[0.48552632],[0.62631579]
35,147,6001,[0.75708661],[0.78267717],[0.62938596],[0.59539474],[0.6],[0.62755556]
36,147,7001,[0.61904762],[0.62736206],[0.53263497],[0.41418211],[0.58704453],[0.55364372]
37,147,8001,[0.88492063],[0.93575208],[0.75213675],[0.77777778],[0.54736842],[0.5245614]
38,147,9001,[0.76324786],[0.7954416],[0.63076923],[0.62136752],[0.55769231],[0.5758547]
39,147,10001,[0.8476378],[0.86811024],[0.80136986],[0.83437111],[0.56140351],[0.53399123]
40,147,11001,[0.70731707],[0.76422764],[0.66666667],[0.67948718],[0.64664502],[0.65692641]
41,147,12001,[0.68152455],[0.72222222],[0.63203463],[0.60779221],[0.625],[0.64613527]
42,147,13001,[0.78243717],[0.84132086],[0.64329268],[0.63719512],[0.63461538],[0.61341223]
43,147,14001,[0.73163168],[0.68082061],[0.59454545],[0.5430303],[0.49880952],[0.57142857]
44,147,15001,[0.78622951],[0.83672131],[0.74660633],[0.75927602],[0.64311594],[0.68357488]
