,n,random_state,train_BA,train_auroc,val_BA,val_auroc,test_BA,test_auroc
0,60,1001,[1. 1.],[1. 1.],[0.73106061 0.63120567],[0.71212121 0.60638298],[0.56363636 0.52659574],[0.62121212 0.55141844]
1,60,2001,[0.82222222 0.87234043],[0.88296296 0.90834697],[0.67272727 0.59308511],[0.6530303  0.54432624],[0.50454545 0.52925532],[0.58636364 0.63829787]
2,60,3001,[0.76984127 1.        ],[0.8015873 1.       ],[0.63181818 0.74734043],[0.62878788 0.66312057],[0.46439394 0.51684397],[0.53030303 0.4964539 ]
3,60,4001,[0.88043478 0.82745826],[0.94720497 0.80705009],[0.67348485 0.56205674],[0.65909091 0.42021277],[0.38333333 0.56205674],[0.40909091 0.53191489]
4,60,5001,[1.         0.96078431],[1.         0.96078431],[0.76439394 0.54166667],[0.74242424 0.38120567],[0.66363636 0.56205674],[0.61515152 0.52659574]
5,60,6001,[0.82142857 0.92080745],[0.85869565 0.97204969],[0.67272727 0.71276596],[0.66818182 0.66312057],[0.51590909 0.72429078],[0.63333333 0.85460993]
6,60,7001,[0.98863636 0.91      ],[0.99857955 0.884     ],[0.71060606 0.63386525],[0.70757576 0.63297872],[0.55378788 0.56028369],[0.56969697 0.57801418]
7,60,8001,[1.         0.98979592],[1.         0.99814471],[0.72878788 0.63120567],[0.7530303  0.61879433],[0.59621212 0.6108156 ],[0.59393939 0.62411348]
8,60,9001,[1.         0.89906832],[1.         0.95496894],[0.61363636 0.66223404],[0.59545455 0.60638298],[0.58181818 0.59042553],[0.62121212 0.59397163]
9,60,10001,[1.         0.97727273],[1.         0.99715909],[0.77348485 0.72429078],[0.78333333 0.7251773 ],[0.59318182 0.51595745],[0.65151515 0.55496454]
10,60,11001,[0.96428571 0.95121951],[0.99223602 0.98202824],[0.80757576 0.69148936],[0.80454545 0.64184397],[0.64015152 0.64893617],[0.66969697 0.79964539]
11,60,12001,[0.82453416 0.82222222],[0.89440994 0.86814815],[0.61893939 0.67198582],[0.53181818 0.65957447],[0.59545455 0.65159574],[0.68787879 0.59397163]
12,60,13001,[0.97058824 0.86647727],[0.99346405 0.93607955],[0.70757576 0.73404255],[0.71363636 0.65780142],[0.50757576 0.58776596],[0.67121212 0.65780142]
13,60,14001,[0.90629275 0.85416667],[0.95212038 0.890625  ],[0.57651515 0.73758865],[0.51060606 0.71985816],[0.56515152 0.53723404],[0.60757576 0.5212766 ]
14,60,15001,[0.98913043 0.97058824],[0.9984472  0.97385621],[0.73030303 0.59663121],[0.75454545 0.55319149],[0.68636364 0.63031915],[0.75454545 0.65602837]
15,94,1001,[0.99253731 0.95178571],[0.99723604 0.97410714],[0.75454545 0.67375887],[0.72727273 0.62411348],[0.60984848 0.50620567],[0.67121212 0.58156028]
16,94,2001,[0.85820896 0.78986486],[0.91155334 0.85067568],[0.75454545 0.63031915],[0.72424242 0.57269504],[0.60984848 0.69326241],[0.63787879 0.65957447]
17,94,3001,[0.79101449 0.79578947],[0.81913043 0.83649123],[0.63712121 0.79875887],[0.65909091 0.7464539 ],[0.67045455 0.39095745],[0.76818182 0.44858156]
18,94,4001,[0.88035714 0.75403509],[0.94285714 0.78666667],[0.75227273 0.56205674],[0.7        0.38297872],[0.49545455 0.56205674],[0.48636364 0.58865248]
19,94,5001,[1.         0.84064327],[1.         0.86695906],[0.77651515 0.57801418],[0.75909091 0.4858156 ],[0.60984848 0.55585106],[0.64545455 0.64716312]
20,94,6001,[0.80593607 0.89121622],[0.86497065 0.94797297],[0.67651515 0.62234043],[0.61969697 0.62234043],[0.6530303  0.75886525],[0.73787879 0.86524823]
21,94,7001,[0.96527778 0.98026316],[0.99116162 0.98684211],[0.68787879 0.68351064],[0.6969697  0.66134752],[0.55378788 0.59929078],[0.60757576 0.63652482]
22,94,8001,[0.9421875  0.88438819],[0.9890625  0.94936709],[0.7530303  0.62056738],[0.80454545 0.59929078],[0.68712121 0.58953901],[0.62878788 0.60283688]
23,94,9001,[0.89915966 0.99350649],[0.95034377 0.99770817],[0.60227273 0.67464539],[0.53484848 0.65070922],[0.45909091 0.60283688],[0.56969697 0.64893617]
24,94,10001,[0.99315068 0.91488059],[0.99608611 0.96264544],[0.75378788 0.76684397],[0.71363636 0.7641844 ],[0.6969697  0.44414894],[0.74545455 0.43971631]
25,94,11001,[0.96699134 0.94803759],[0.99404762 0.98120509],[0.79621212 0.66223404],[0.83181818 0.66666667],[0.68484848 0.71276596],[0.69393939 0.78191489]
26,94,12001,[0.7277027 0.7626087],[0.78716216 0.82028986],[0.63106061 0.68262411],[0.56060606 0.68085106],[0.71969697 0.62056738],[0.76818182 0.61702128]
27,94,13001,[0.92053571 0.98      ],[0.95089286 0.99789474],[0.74166667 0.69148936],[0.76515152 0.67198582],[0.61969697 0.60904255],[0.71060606 0.69148936]
28,94,14001,[0.96969697 0.78456837],[0.99621212 0.82200153],[0.67348485 0.68173759],[0.6969697  0.70390071],[0.66060606 0.5035461 ],[0.70757576 0.57269504]
29,94,15001,[1.      0.91875],[1.         0.93035714],[0.73106061 0.61702128],[0.76969697 0.56382979],[0.675      0.65070922],[0.79090909 0.67375887]
30,147,1001,[0.94329214 0.76676829],[0.98720212 0.82757453],[0.68636364 0.6214539 ],[0.69393939 0.56205674],[0.5530303  0.63031915],[0.68787879 0.61524823]
31,147,2001,[0.95457958 0.75833333],[0.98873874 0.79537037],[0.79924242 0.73492908],[0.76969697 0.70212766],[0.50984848 0.66134752],[0.75151515 0.71808511]
32,147,3001,[0.88925234 0.88038278],[0.93808411 0.93514088],[0.72045455 0.69503546],[0.7030303  0.70212766],[0.60909091 0.4751773 ],[0.78636364 0.5248227 ]
33,147,4001,[0.85714286 0.75778643],[0.90994898 0.8025584 ],[0.74166667 0.54166667],[0.73030303 0.35460993],[0.51893939 0.53102837],[0.5530303  0.67021277]
34,147,5001,[0.96390633 0.76470588],[0.98937711 0.81542617],[0.77575758 0.58865248],[0.77878788 0.53014184],[0.77575758 0.63031915],[0.77121212 0.70921986]
35,147,6001,[0.7987988  0.84358974],[0.8480981  0.91367521],[0.63787879 0.69592199],[0.63030303 0.69326241],[0.62651515 0.73847518],[0.73030303 0.81737589]
36,147,7001,[0.90945946 0.9669837 ],[0.95503686 0.99184783],[0.72121212 0.75531915],[0.70757576 0.69326241],[0.58712121 0.62943262],[0.66969697 0.68617021]
37,147,8001,[0.93671976 0.84978992],[0.96663797 0.91296519],[0.79772727 0.65336879],[0.83939394 0.62234043],[0.64318182 0.71631206],[0.63484848 0.69503546]
38,147,9001,[1.         0.99576271],[1.         0.99941555],[0.63257576 0.74556738],[0.59848485 0.67198582],[0.5219697 0.6001773],[0.65       0.61347518]
39,147,10001,[0.82589286 0.85012285],[0.90433673 0.92628993],[0.73181818 0.73670213],[0.75151515 0.75531915],[0.66363636 0.53900709],[0.77121212 0.56382979]
40,147,11001,[0.90754634 0.97297297],[0.96359223 0.99449449],[0.76363636 0.76595745],[0.80909091 0.7322695 ],[0.75227273 0.68085106],[0.76060606 0.83333333]
41,147,12001,[0.83211869 0.77057842],[0.87584591 0.78615128],[0.63181818 0.67641844],[0.57272727 0.67730496],[0.59848485 0.53102837],[0.69242424 0.61347518]
