,n,random_state,train_BA,train_auroc,val_BA,val_auroc,test_BA,test_auroc
0,10000,1001,[0.96391887 0.97080451 0.94687201 0.94667393],[0.99379325 0.99401556 0.97928179 0.98179957],[0.9426552  0.93185397 0.91807077 0.90363189],[0.98390293 0.98233075 0.97003357 0.95933386],[0.93270902 0.92938442 0.88826183 0.90285163],[0.98519757 0.97764325 0.95582934 0.9663422 ]
1,10000,2001,[0.96468085 0.96672431 0.93948951 0.93890304],[0.99337821 0.9935374  0.97848828 0.98042581],[0.94253437 0.92661179 0.91201573 0.89895507],[0.98494814 0.98032446 0.96202317 0.95946106],[0.94355994 0.93299027 0.89554005 0.91009829],[0.98230305 0.98296109 0.95921562 0.96084013]
2,10000,3001,[0.97377918 0.96921958 0.93723751 0.93986442],[0.99584725 0.99378265 0.97706539 0.97907496],[0.96220321 0.93162845 0.9254013  0.90778642],[0.99192494 0.97975854 0.9697904  0.96195106],[0.93664057 0.93287276 0.91563188 0.91661924],[0.98427743 0.98220428 0.96759203 0.96634377]
3,10000,4001,[0.96824941 0.97066119 0.94212868 0.94407086],[0.99411445 0.99372098 0.97920722 0.9826299 ],[0.95430673 0.91563657 0.91227324 0.90879851],[0.98762742 0.97154692 0.96804525 0.95929843],[0.94521137 0.92353983 0.90940311 0.8988687 ],[0.98738456 0.98062935 0.96619862 0.95854376]
4,10000,5001,[0.96176473 0.96714143 0.94294615 0.94513185],[0.99383646 0.9926865  0.97912391 0.98190674],[0.93645837 0.92784849 0.91931785 0.91770886],[0.98349257 0.97682439 0.96311731 0.95839053],[0.95128155 0.92932517 0.88673252 0.90431417],[0.9882492  0.98332748 0.95777162 0.96545095]
5,10000,6001,[0.96472026 0.96861032 0.94141288 0.94553214],[0.99392547 0.99438272 0.98039597 0.98158279],[0.9522185  0.94542342 0.91541921 0.9054876 ],[0.98881368 0.98582363 0.96286782 0.95904872],[0.93729781 0.92132392 0.90643842 0.90272132],[0.98282411 0.97750414 0.96355147 0.95973924]
6,10000,7001,[0.96247004 0.96936535 0.9241398  0.94973501],[0.99323637 0.9935654  0.97020514 0.98123148],[0.94485261 0.93629823 0.91619833 0.88338118],[0.98439613 0.98332222 0.96587621 0.94543224],[0.94926412 0.91696244 0.88161194 0.88886229],[0.98815628 0.97510202 0.95147369 0.95649776]
7,10000,8001,[0.96426666 0.97087838 0.9459158  0.94562209],[0.99343088 0.99455593 0.98054751 0.98225363],[0.93996849 0.92548856 0.90858377 0.89994273],[0.9857513  0.97770455 0.96461356 0.95645223],[0.93587718 0.90505136 0.89269584 0.90485482],[0.98602943 0.96599109 0.95707513 0.95656778]
8,10000,9001,[0.96271322 0.96953162 0.94262873 0.9487304 ],[0.99294286 0.99316887 0.97938679 0.98224227],[0.95251393 0.93394732 0.90809132 0.89274079],[0.98697384 0.98310975 0.95786042 0.95476432],[0.95384041 0.92992372 0.9175389  0.90792182],[0.99063565 0.98258562 0.96731326 0.96528101]
9,10000,10001,[0.97775466 0.96693989 0.94320681 0.94686873],[0.99720943 0.99353272 0.9792864  0.9828808 ],[0.95618041 0.93630579 0.91114866 0.89824983],[0.9874798  0.98227663 0.96025696 0.96022691],[0.93083615 0.93563762 0.90510082 0.89956824],[0.98358341 0.97917976 0.96200559 0.95774057]
