,n,random_state,train_BA,train_auroc,val_BA,val_auroc,test_BA,test_auroc
0,60,1001,[1. 1. 1. 1.],[1. 1. 1. 1.],[0.83518924 0.76035491 0.81234987 0.65874398],[0.90699878 0.82235988 0.89032853 0.71191116],[0.83686976 0.74218959 0.74440269 0.6681175 ],[0.89992255 0.80523524 0.83645091 0.76028445]
1,60,2001,[1.         1.         1.         0.99019608],[1.         1.         1.         0.99346405],[0.83933237 0.6790437  0.7846798  0.69456316],[0.91044701 0.73843215 0.85475878 0.74783843],[0.81350175 0.67442802 0.77576161 0.70452059],[0.89405793 0.7538716  0.85783624 0.77875556]
2,60,3001,[1.         1.         1.         0.99056604],[1.         1.         1.         0.99730458],[0.86300579 0.72462611 0.79902671 0.73817047],[0.9342687  0.79041834 0.85633209 0.79099601],[0.83763336 0.72621731 0.81902657 0.6844228 ],[0.91802478 0.81572236 0.88622865 0.75857306]
3,94,1001,[1.         1.         0.99324324 1.        ],[1.         1.         0.99054054 1.        ],[0.86390574 0.79815512 0.824334   0.69316537],[0.92894629 0.87594026 0.90083634 0.74515983],[0.85996128 0.77756466 0.78996344 0.69698399],[0.92896713 0.86693769 0.85317928 0.77710978]
4,94,2001,[1. 1. 1. 1.],[1. 1. 1. 1.],[0.83694922 0.75113664 0.78838591 0.6987047 ],[0.91400391 0.81239195 0.85802443 0.74888794],[0.81901009 0.77039981 0.78408864 0.74062577],[0.89810504 0.83438327 0.86474211 0.80598263]
5,94,3001,[1. 1. 1. 1.],[1. 1. 1. 1.],[0.8691646  0.73321572 0.80303855 0.72308378],[0.9402158  0.80423959 0.8585891  0.78365817],[0.85078527 0.73667058 0.79956546 0.691977  ],[0.92935369 0.82189613 0.87602372 0.74832634]
6,147,1001,[0.9952381  1.         0.99115044 1.        ],[0.99931973 1.         0.99062988 1.        ],[0.88512238 0.8197519  0.83955419 0.72467137],[0.94658648 0.90486616 0.92072836 0.7853853 ],[0.86686423 0.79254503 0.82147083 0.73239708],[0.94373716 0.88780255 0.88879221 0.80912807]
7,147,2001,[1. 1. 1. 1.],[1. 1. 1. 1.],[0.86041688 0.80274821 0.80422838 0.73131945],[0.93704686 0.88462123 0.88188111 0.78895646],[0.85113833 0.81847082 0.79791253 0.77936604],[0.92521567 0.90886965 0.87450052 0.83833766]
8,147,3001,[1. 1. 1. 1.],[1. 1. 1. 1.],[0.88342228 0.80299111 0.8105183  0.74156539],[0.94672997 0.88056528 0.85501485 0.80602378],[0.85967612 0.79311915 0.81644972 0.69900725],[0.9351333  0.88958687 0.88268027 0.7595975 ]
9,230,1001,[0.99693252 1.         0.99726776 0.99751244],[0.99761927 1.         0.99895361 0.99965689],[0.89407955 0.84673971 0.85874971 0.75186468],[0.95274937 0.92175581 0.93113795 0.81601176],[0.88210447 0.83701266 0.82821441 0.77235563],[0.95225383 0.92430734 0.9132683  0.85371212]
10,230,2001,[1.         1.         0.98235294 1.        ],[1.         1.         0.99588235 1.        ],[0.86769893 0.82885203 0.84435752 0.79521274],[0.94469625 0.91376221 0.91567186 0.85561292],[0.85737036 0.84424319 0.82144627 0.78169974],[0.93372808 0.92564591 0.90567403 0.8516985 ]
11,230,3001,[0.99715909 1.         0.99740933 1.        ],[0.99873737 1.         0.99985996 1.        ],[0.89689157 0.85606458 0.82062751 0.76338519],[0.96073877 0.91961441 0.87777756 0.83312856],[0.8713587  0.83365702 0.81812334 0.75463021],[0.94260914 0.91834687 0.89110911 0.81933288]
