,n,random_state,train_BA,train_auroc,val_BA,val_auroc,test_BA,test_auroc
0,200,1001,[0.97379493 0.8778603  0.87818106],[0.99483111 0.93667202 0.93505771],[0.92549028 0.81040495 0.68619405],[0.97668123 0.86227445 0.73224544],[0.89397628 0.79697714 0.71056858],[0.96594499 0.8735479  0.79811388]
1,200,2001,[0.95469131 0.85236853 0.87613913],[0.99037351 0.9271377  0.9324862 ],[0.89133089 0.78676205 0.74260642],[0.96451829 0.8376521  0.81236823],[0.88389871 0.73620018 0.69763973],[0.96711984 0.82937567 0.76110717]
2,200,3001,[0.96723253 0.85815496 0.87152778],[0.97697065 0.93548387 0.92683532],[0.92223168 0.80408238 0.70669262],[0.97265167 0.86272292 0.74853827],[0.9        0.78073574 0.70960259],[0.97774078 0.85267174 0.79766859]
3,240,1001,[0.96071701 0.84109531 0.86453425],[0.99118569 0.91960221 0.91074665],[0.92615969 0.80140675 0.69346948],[0.97756396 0.86508079 0.74785367],[0.89286269 0.81579194 0.71892159],[0.9669032  0.87417246 0.81119591]
4,240,2001,[0.9477534  0.83203125 0.86661834],[0.98833159 0.92006138 0.926332  ],[0.90066283 0.78592835 0.74270614],[0.9684284  0.84770167 0.81155621],[0.89278837 0.74831005 0.71732837],[0.96855319 0.83993714 0.76440092]
5,240,3001,[0.96702995 0.85766988 0.88392857],[0.98049272 0.93914693 0.93444114],[0.92527348 0.80091607 0.68956208],[0.97248423 0.86425339 0.74976135],[0.90574713 0.76669537 0.73561352],[0.97804201 0.86173699 0.81044207]
6,280,1001,[0.99509804 0.95538462 0.9684466 ],[0.9998065  0.99189744 0.99199685],[0.9448147  0.78661675 0.7294994 ],[0.98299275 0.8591218  0.78539865],[0.90375252 0.81465733 0.75697342],[0.97196613 0.87033143 0.8204206 ]
7,280,2001,[0.9469697  0.82626063 0.84416925],[0.98879034 0.91782527 0.91866615],[0.90992936 0.78173164 0.74710097],[0.97088494 0.84962821 0.80917716],[0.91920398 0.75909684 0.7161763 ],[0.9728098  0.84703204 0.76593702]
8,280,3001,[0.99065171 0.96629446 0.96088435],[0.99485844 0.99472705 0.98894558],[0.92984317 0.80495852 0.70532039],[0.97703299 0.85619067 0.75234175],[0.93103448 0.78915519 0.70737701],[0.98655569 0.85259998 0.79542126]
9,320,1001,[0.99431818 0.95738636 0.96414577],[0.99985306 0.99226641 0.9908895 ],[0.9448147  0.79073072 0.72361278],[0.98519957 0.84680973 0.77758664],[0.90195913 0.8181028  0.76418021],[0.97432278 0.87341258 0.82891775]
10,320,2001,[0.99561404 0.95408867 0.96113568],[0.99985698 0.98912315 0.98876519],[0.93960405 0.76899504 0.7566528 ],[0.98113262 0.85139703 0.79873497],[0.94213033 0.78733202 0.70394659],[0.98306042 0.85538646 0.77417878]
11,320,3001,[0.99166667 0.95709375 0.96054274],[0.99411458 0.99067599 0.98895104],[0.93289892 0.80215265 0.71374769],[0.97593068 0.85179886 0.76059006],[0.92528736 0.7929822  0.73044468],[0.98736425 0.86046929 0.8087892 ]
12,360,1001,[0.99298956 0.95757576 0.96062483],[0.99976632 0.99167055 0.99020031],[0.94495447 0.80299502 0.72354965],[0.98533198 0.86231027 0.79235844],[0.90894494 0.81106092 0.76834642],[0.97362356 0.88935962 0.84020152]
13,360,2001,[0.99609375 0.96217861 0.96666667],[0.9998122  0.99198857 0.99111111],[0.94108669 0.76494479 0.7438458 ],[0.98108902 0.85187021 0.80342185],[0.93397183 0.74663454 0.6992349 ],[0.98097555 0.85694642 0.77608413]
14,360,3001,[0.97217716 0.8408034  0.85750434],[0.98491239 0.92524735 0.9191755 ],[0.92947341 0.8022081  0.69658732],[0.97425629 0.86153624 0.75935207],[0.91724138 0.79664179 0.75001087],[0.98302021 0.86725029 0.83062447]
15,800,1001,[0.99511032 0.92850884 0.925     ],[0.99921288 0.98208105 0.97296667],[0.95761428 0.81852542 0.74854807],[0.98917185 0.88697023 0.81907708],[0.938824   0.82339072 0.77133895],[0.9863521  0.91063622 0.86268669]
16,800,2001,[0.98943021 0.92329888 0.90950236],[0.99871834 0.97775743 0.96971722],[0.95089831 0.80708653 0.76396091],[0.9903192  0.87929247 0.83131517],[0.9479506  0.76103234 0.6992349 ],[0.98601399 0.86050543 0.77751684]
17,800,3001,[0.98766612 0.91296386 0.91121865],[0.99697049 0.97715703 0.9688475 ],[0.94243595 0.81240573 0.74214695],[0.98180499 0.87854893 0.79674542],[0.94252874 0.80814677 0.75325137],[0.99167658 0.87729621 0.84603674]
18,1600,1001,[0.98839322 0.9014887  0.86675513],[0.99918143 0.96445802 0.94031186],[0.95362728 0.82973286 0.76492961],[0.98977505 0.88871374 0.83152894],[0.93931605 0.815641   0.76985641],[0.98911017 0.9143107  0.85914507]
19,1600,2001,[0.97947151 0.8955275  0.87483097],[0.99798044 0.96143961 0.94259977],[0.96528868 0.81827963 0.77920394],[0.99239781 0.88608607 0.84225597],[0.94952149 0.81638183 0.74240813],[0.98767899 0.88301499 0.81897672]
20,1600,3001,[0.97750202 0.89113725 0.87751938],[0.99682002 0.96009569 0.94610217],[0.94775911 0.82855891 0.74863522],[0.98889323 0.8856357  0.80223435],[0.96091954 0.81350459 0.78255354],[0.99595719 0.88618207 0.8453263 ]
