,n,random_state,train_BA,train_auroc,val_BA,val_auroc,test_BA,test_auroc
0,200,1001,[0.97379493 0.8778603  0.87818106],[0.99483111 0.93667202 0.93505771],[0.92549028 0.81040495 0.68619405],[0.97668123 0.86227445 0.73224544],[0.89397628 0.79697714 0.71056858],[0.96594499 0.8735479  0.79811388]
1,200,2001,[0.95469131 0.85236853 0.87613913],[0.99037351 0.9271377  0.9324862 ],[0.89133089 0.78676205 0.74260642],[0.96451829 0.8376521  0.81236823],[0.88389871 0.73620018 0.69763973],[0.96711984 0.82937567 0.76110717]
2,200,3001,[0.96723253 0.85815496 0.87152778],[0.97697065 0.93548387 0.92683532],[0.92223168 0.80408238 0.70669262],[0.97265167 0.86272292 0.74853827],[0.9        0.78073574 0.70960259],[0.97774078 0.85267174 0.79766859]
3,240,1001,[0.96071701 0.84109531 0.86453425],[0.99118569 0.91960221 0.91074665],[0.92615969 0.80140675 0.69346948],[0.97756396 0.86508079 0.74785367],[0.89286269 0.81579194 0.71892159],[0.9669032  0.87417246 0.81119591]
4,240,2001,[0.9477534  0.83203125 0.86661834],[0.98833159 0.92006138 0.926332  ],[0.90066283 0.78592835 0.74270614],[0.9684284  0.84770167 0.81155621],[0.89278837 0.74831005 0.71732837],[0.96855319 0.83993714 0.76440092]
5,240,3001,[0.96702995 0.85766988 0.88392857],[0.98049272 0.93914693 0.93444114],[0.92527348 0.80091607 0.68956208],[0.97248423 0.86425339 0.74976135],[0.90574713 0.76669537 0.73561352],[0.97804201 0.86173699 0.81044207]
6,280,1001,[0.99509804 0.95538462 0.9684466 ],[0.9998065  0.99189744 0.99199685],[0.9448147  0.78661675 0.7294994 ],[0.98299275 0.8591218  0.78539865],[0.90375252 0.81465733 0.75697342],[0.97196613 0.87033143 0.8204206 ]
7,280,2001,[0.9469697  0.82626063 0.84416925],[0.98879034 0.91782527 0.91866615],[0.90992936 0.78173164 0.74710097],[0.97088494 0.84962821 0.80917716],[0.91920398 0.75909684 0.7161763 ],[0.9728098  0.84703204 0.76593702]
8,280,3001,[0.99065171 0.96629446 0.96088435],[0.99485844 0.99472705 0.98894558],[0.92984317 0.80495852 0.70532039],[0.97703299 0.85619067 0.75234175],[0.93103448 0.78915519 0.70737701],[0.98655569 0.85259998 0.79542126]
9,320,1001,[0.99431818 0.95738636 0.96414577],[0.99985306 0.99226641 0.9908895 ],[0.9448147  0.79073072 0.72361278],[0.98519957 0.84680973 0.77758664],[0.90195913 0.8181028  0.76418021],[0.97432278 0.87341258 0.82891775]
10,320,2001,[0.99561404 0.95408867 0.96113568],[0.99985698 0.98912315 0.98876519],[0.93960405 0.76899504 0.7566528 ],[0.98113262 0.85139703 0.79873497],[0.94213033 0.78733202 0.70394659],[0.98306042 0.85538646 0.77417878]
11,320,3001,[0.99166667 0.95709375 0.96054274],[0.99411458 0.99067599 0.98895104],[0.93289892 0.80215265 0.71374769],[0.97593068 0.85179886 0.76059006],[0.92528736 0.7929822  0.73044468],[0.98736425 0.86046929 0.8087892 ]
12,360,1001,[0.99298956 0.95757576 0.96062483],[0.99976632 0.99167055 0.99020031],[0.94495447 0.80299502 0.72354965],[0.98533198 0.86231027 0.79235844],[0.90894494 0.81106092 0.76834642],[0.97362356 0.88935962 0.84020152]
13,360,2001,[0.99609375 0.96217861 0.96666667],[0.9998122  0.99198857 0.99111111],[0.94108669 0.76494479 0.7438458 ],[0.98108902 0.85187021 0.80342185],[0.93397183 0.74663454 0.6992349 ],[0.98097555 0.85694642 0.77608413]
14,360,3001,[0.97217716 0.8408034  0.85750434],[0.98491239 0.92524735 0.9191755 ],[0.92947341 0.8022081  0.69658732],[0.97425629 0.86153624 0.75935207],[0.91724138 0.79664179 0.75001087],[0.98302021 0.86725029 0.83062447]
15,400,1001,[0.95979335 0.86027656 0.82116397],[0.99194583 0.92150849 0.90002837],[0.94149711 0.81429203 0.72399154],[0.98493475 0.87103978 0.77791806],[0.90628399 0.82152746 0.76822974],[0.97118921 0.89448099 0.83679717]
16,400,2001,[0.94825938 0.84561921 0.83291619],[0.99081126 0.9275461  0.9160249 ],[0.91860719 0.78453132 0.76802809],[0.97217862 0.85486706 0.82208388],[0.91454198 0.76367271 0.71988361],[0.97166602 0.85253233 0.77906771]
17,400,3001,[0.97384852 0.85079365 0.84918622],[0.98669543 0.92413968 0.91133978],[0.931385   0.80701579 0.7188339 ],[0.97434001 0.86476355 0.76697393],[0.9137931  0.79637868 0.75171449],[0.98313119 0.87236892 0.83858433]
18,440,1001,[0.95953177 0.85614516 0.82268791],[0.99119732 0.91789819 0.90009279],[0.94375543 0.82652647 0.73743766],[0.98455224 0.87698683 0.79201124],[0.91407909 0.82362493 0.77627389],[0.97195318 0.89626098 0.84981056]
19,440,2001,[0.95104167 0.85028542 0.83317726],[0.98950521 0.92363259 0.90600669],[0.92087476 0.79473862 0.77046413],[0.97223676 0.85750338 0.82484757],[0.9106618  0.77603679 0.72283765],[0.97162258 0.8594539  0.79033735]
20,440,3001,[0.96822742 0.84233386 0.84851117],[0.98651505 0.9244584  0.91255583],[0.92908969 0.80182548 0.72401706],[0.97521907 0.86759161 0.77194081],[0.9137931  0.80199962 0.75446202],[0.9835434  0.87235697 0.83738093]
